,title,type,link
128,Rosie / Honolulu Eyes,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/rosie-honolulu-eyes/
129,Home Again Blues / Crazy Blues,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/home-again-blues-crazy-blues/
130,Bright Eyes - Medley / Love Bird - Medley,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/bright-eyes-medley-love-bird-medley/
131,That Naughty Waltz / Gloaming Time,Single,https://rateyourmusic.com/release/single/carl_fentons_orchestra/that_naughty_waltz___gloaming_time/
132,Sally Medley / Love Bird,Single,https://rateyourmusic.com/release/single/rega-dance-orchestra/sally-medley-love-bird/
133,Darling / Missy,Single,https://rateyourmusic.com/release/single/art-hickmans-orchestra/darling-missy/
134,Look for the Silver Lining / I'm Gonna Do It If I Like It,Single,https://rateyourmusic.com/release/single/marion_harris/look_for_the_silver_lining___im_gonna_do_it_if_i_like_it/
135,Whip-Poor-Will / Look for the Silver Lining,Single,https://rateyourmusic.com/release/single/isham-jones/whip-poor-will-look-for-the-silver-lining/
136,He's My Man (You'd Better Leave Him Alone) / Mamma Whip! Mamma Spank! (If Her Daddy Don't Come Home),Single,https://rateyourmusic.com/release/single/lucille-hegamin-and-her-blue-flame-syncopaters/hes-my-man-youd-better-leave-him-alone-mamma-whip-mamma-spank-if-her-daddy-dont-come-home/
137,I Never Knew  / Do You Ever Think of Me?,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/i-never-knew-do-you-ever-think-of-me/
138,My Mammy / Humming,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/my-mammy-humming/
139,Make Believe / Some Little Bird,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/make-believe-some-little-bird/
140,I Wonder Where My Brown Skin Daddy's Gone / You'll Want My Love,Single,https://rateyourmusic.com/release/single/lucille-hegamin-and-her-blue-flame-syncopators/i-wonder-where-my-brown-skin-daddys-gone-youll-want-my-love/
141,Underneath Hawaii Skies / (Down Around the 'Sip 'Sip) 'Sippy Shore,Single,https://rateyourmusic.com/release/single/paul-whiteman-and-his-orchestra/underneath-hawaii-skies-down-around-the-sip-sip-sippy-shore/
142,Toddle / Moonlight,Single,https://rateyourmusic.com/release/single/the-benson-orchestra-of-chicago-paul-whiteman-orchestra/toddle-moonlight/
143,Scandinavia / Ain't We Got Fun,Single,https://rateyourmusic.com/release/single/the-benson-orchestra-of-chicago/scandinavia-aint-we-got-fun/
144,Cherie / My Man (Mon Homme),Single,https://rateyourmusic.com/release/single/paul-whiteman-and-his-orchestra/cherie-my-man-mon-homme/
145,Royal Garden Blues / Spread Yo' Stuff,Single,https://rateyourmusic.com/release/single/daisy-martin-acc-by-her-five-jazz-bell-hops/royal-garden-blues-spread-yo-stuff/
146,Make Believe / Do You Ever Think of Me,Single,https://rateyourmusic.com/release/single/isham-jones-orchestra/make-believe-do-you-ever-think-of-me/
147,Wang Wang Blues / I Like You Because You Have Such Loving Ways,Single,https://rateyourmusic.com/release/single/lucille-hegamin-and-her-blue-flame-syncopaters/wang-wang-blues-i-like-you-because-you-have-such-loving-ways/
148,Some Little Bird  / Mon Homme,Single,https://rateyourmusic.com/release/single/coon-sanders-novelty-orchestra-yerkes-jazzarimba-orchestra/some-little-bird-mon-homme/
149,Crooning / I'll Keep on Loving You,Single,https://rateyourmusic.com/release/single/the-benson-orchestra-of-chicago/crooning-ill-keep-on-loving-you/
150,St. Louis Blues / Jazz Me Blues,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/st-louis-blues-jazz-me-blues/
151,Play 'Em for Mama Sing 'Em for Me / I Won't Be Back 'Till You Change Your Ways,Single,https://rateyourmusic.com/release/single/daisy-martin-and-her-jazz-bell-hops/play-em-for-mama-sing-em-for-me-i-wont-be-back-till-you-change-your-ways/
152,Cho-Cho-San / Song of India,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/cho-cho-san-song-of-india/
153,Wild Weeping Blues / I've Lost My Heart to the Meanest Girl in Town,Single,https://rateyourmusic.com/release/single/mary-stafford-and-her-jazz-band/wild-weeping-blues-ive-lost-my-heart-to-the-meanest-girl-in-town/
154,Learn to Smile / Oh Me! Oh My!,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/learn-to-smile-oh-me-oh-my/
155,Na-Jo / San,Single,https://rateyourmusic.com/release/single/the-benson-orchestra-of-chicago/na-jo-san/
156,You're the Sweetest Girl / Vamping Rose [by All Star Trio],Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/youre-the-sweetest-girl-vamping-rose-by-all-star-trio/
157,Dangerous Blues / Royal Garden Blues,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/dangerous-blues-royal-garden-blues/
158,The Boll Weevil Blues / The Jazz Me Blues,Single,https://rateyourmusic.com/release/single/tim-brymn-and-his-black-devil-orchestra/the-boll-weevil-blues-the-jazz-me-blues/
159,All by Myself / One Kiss,Single,https://rateyourmusic.com/release/single/ted-lewis-the-happy-six/all-by-myself-one-kiss/
160,In a Boat / Sweetheart,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/in-a-boat-sweetheart/
161,He Took It Away From Me / If I Were Your Daddy (And You Were a Mamma to Me),Single,https://rateyourmusic.com/release/single/lavinia-turner-and-jas-p-johnsons-harmony-seven/he-took-it-away-from-me-if-i-were-your-daddy-and-you-were-a-mamma-to-me/
162,All by Myself / Saturday,Single,https://rateyourmusic.com/release/single/bennie_krueger/all_by_myself___saturday/
163,Aunt Hager's Children's Blues / Shake It and Break It,Single,https://rateyourmusic.com/release/single/ladds-black-aces/aunt-hagers-childrens-blues-shake-it-and-break-it/
164,South Sea Isles / Rosy Cheeks,Single,https://rateyourmusic.com/release/single/paul-whiteman-and-his-orchestra-all-star-trio-and-their-orchestra/south-sea-isles-rosy-cheeks/
165,Sweet Lady / Say It With Music,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/sweet-lady-say-it-with-music/
166,Weep No More My Mammy / April Showers,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/weep-no-more-my-mammy-april-showers/
167,"Sally, Won't You Come Back? / Second Hand Rose",Single,https://rateyourmusic.com/release/single/ted_lewis/sally__wont_you_come_back____second_hand_rose/
168,Nervous Blues / Vampin' Liza Jane,Single,https://rateyourmusic.com/release/single/edith-wilson-and-johnny-dunns-original-jazz-hounds/nervous-blues-vampin-liza-jane/
169,Second Hand Rose / Have You Forgotten,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/second-hand-rose-have-you-forgotten/
170,Canadian Capers / Bimini Bay,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra-the-benson-orchestra-of-chicago/canadian-capers-bimini-bay/
171,Everybody Step / Ka-Lu-A – Blue Danube Blues,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/everybody-step-ka-lu-a-–-blue-danube-blues/
172,Ma / The Wabash Blues,Single,https://rateyourmusic.com/release/single/isham-jones/ma-the-wabash-blues/
173,Arkansas Blues / Blind Man Blues,Single,https://rateyourmusic.com/release/single/mary-stafford-and-her-jazz-band/arkansas-blues-blind-man-blues/
174,Smilin' Through / Three O'Clock in the Morning,Single,https://rateyourmusic.com/release/single/nathan_glantz_orchestra/smilin_through___three_oclock_in_the_morning/
175,Lonesome Mama Blues / Those Longing for You Blues,Single,https://rateyourmusic.com/release/single/original-memphis-five/lonesome-mama-blues-those-longing-for-you-blues/
176,Struttin' at the Strutters Ball / I Wish I Could Shimmy Like My Sister Kate,Single,https://rateyourmusic.com/release/single/original-memphis-five/struttin-at-the-strutters-ball-i-wish-i-could-shimmy-like-my-sister-kate/
177,"Ji-Ji-Boo / You Can Have Him, I Don't Want Him, Didn't Love Him Anyhow Blues",Single,https://rateyourmusic.com/release/single/original-memphis-five/ji-ji-boo-you-can-have-him-i-dont-want-him-didnt-love-him-anyhow-blues/
178,Tomorrow / Toot-Toot-Tootsie,Single,https://rateyourmusic.com/release/single/emil_coleman/tomorrow___toot_toot_tootsie/
179,Smilin' / Somewhere in Naples,Single,https://rateyourmusic.com/release/single/green-bros-mellorimba-orchestra-all-star-trio/smilin-somewhere-in-naples/
180,When Hearts Are Young / Journey's End,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/when-hearts-are-young-journeys-end/
181,Until My Luck Comes Rolling Along / Just Like a Doll,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/until-my-luck-comes-rolling-along-just-like-a-doll/
182,Aunt Hagar's Children / Shake It and Break It,Single,https://rateyourmusic.com/release/single/fletcher-henderson/aunt-hagars-children-shake-it-and-break-it/
183,The Sheik of Araby / Who'll Be the Next to Cry Over You?,Single,https://rateyourmusic.com/release/single/fletcher-henderson/the-sheik-of-araby-wholl-be-the-next-to-cry-over-you/
