,title,type,link
831,Dottie / In the Meantime,Single,https://rateyourmusic.com/release/single/danny_and_the_juniors/dottie___in_the_meantime/
832,Heartbreak Bound / Trav'lin' Man,Single,https://rateyourmusic.com/release/single/freddie-neil/heartbreak-bound-travlin-man/
833,Beatnik I / She's a Fat Girl,Single,https://rateyourmusic.com/release/single/the-rock-a-bouts/beatnik-i-shes-a-fat-girl/
834,Daddy Lolo (Oriental Rock and Roll) / Halvah,Single,https://rateyourmusic.com/release/single/ganims-asia-minors/daddy-lolo-oriental-rock-and-roll-halvah/
835,Rumble Tumble / Rock 'n' Roll Espanole,Single,https://rateyourmusic.com/release/single/mad-man-taylor/rumble-tumble-rock-n-roll-espanole/
836,"Come On, Let's Go / Put a Ring on Her Finger",Single,https://rateyourmusic.com/release/single/tommy-steele/come-on-lets-go-put-a-ring-on-her-finger/
837,The Glory of Love / C'mon Tiger (Gimme a Growl),Single,https://rateyourmusic.com/release/single/the_imperials_f4/the_glory_of_love___cmon_tiger__gimme_a_growl_/
838,I'll Get By / Fallin',Single,https://rateyourmusic.com/release/single/connie-francis/ill-get-by-fallin/
839,Let's Rock To-Night / (It's My Fault) You're Gone,Single,https://rateyourmusic.com/release/single/jimmy_grubbs_and_his_music_makers/lets_rock_to_night____its_my_fault__youre_gone/
840,What a Relief / You Take Care of Me,Single,https://rateyourmusic.com/release/single/the_de_castro_sisters/what_a_relief___you_take_care_of_me/
841,Kewpie Doll / Dance Only With Me,Single,https://rateyourmusic.com/release/single/perry-como/kewpie-doll-dance-only-with-me/
